,total,name,type,county
0,2,Edna and John W Mosley P-8 School: May 2021,School K-12,Arapahoe
1,4,Action Industries,Non-Food Manufacturer/Warehouse,Jefferson
2,3,Crumbl Cookies - Thornton,Specialty Food Retailer,Adams
3,3,Springfield High School,School K-12,Baca
4,6,Harvest Farm: May 2021,Other,Larimer
5,2,JP Morgan Chase Bank - Arvada,Office/Indoor Workspace,Jefferson
6,2,Routt County Sheriff's Office,Law Enforcement - Other,Routt
7,4,Town of Hayden Public Works,Municipal/Local Government,Routt
8,3,University Heights Rehab And Care Community (020447): May 2021,Healthcare - Skilled Nursing,Arapahoe
9,2,Veterans Community Living Center at Homelake (021013): May 2021,Healthcare - Skilled Nursing,Colorado
10,2,Boulder Country Day School,School K-12,Boulder
11,7,Altair Strickland,Construction Company/Contractor,Adams
12,2,Liberty Heights Memory Care Unit (020501),Healthcare - Memory Care,El Paso
13,2,Sunrise at Pinehurst (23049U): May 2021,Healthcare - Assisted Living,Denver
14,2,Dillon Valley Elementary: May 2021,School K-12,Summit
15,2,Minnequa Medicenter (020675): May 2021,Healthcare - Memory Care,Pueblo
16,7,Irish Elementary Escuela Bilingüe,School K-12,Larimer
17,6,Pikes Peak Center (02B942): May 2021,Healthcare - Skilled Nursing,El Paso
18,5,Sun Mountain Custom Doors,Materials Supplier,Weld
19,4,Timnath Elementary School,School K-12,Larimer
20,9,Montrose High School: May 2021,School K-12,Montrose
21,9,Highline Academy Northeast: May 2021,School K-12,Denver
22,3,Great Clips #2521,Personal Services,El Paso
23,3,Ridgeview Post Acute (020404): May 2021,Healthcare - Skilled Nursing,Adams
24,2,The Center at Foresight (02V727): May 2021,Healthcare - Skilled Nursing,Mesa
25,7,Recovery Unlimited,Healthcare - Alcohol/Drug Abuse Treatment (outpatient),El Paso
26,6,Bozarth Chevrolet and Buick INC,Other,Mesa
27,4,Global Callcenter Solutions,Office/Indoor Workspace,Pueblo
28,2,Bethesda Gardens Monument (23U756): May 2021,Healthcare - Assisted Living,El Paso
29,2,Skyway Park Elementary School,School K-12,El Paso
30,2,The Towers (23R904),Healthcare - Assisted Living,Yuma
31,2,The Oaks Assisted Living (231133),Healthcare - Assisted Living,Mesa
32,3,Boulder JCC Phillips Early Childhood Center,Child Care Center,Boulder
33,2,Bear Creek Senior Living (23054G): May 2021,Healthcare - Combined Care,El Paso
34,3,Greystar,Office/Indoor Workspace,Arapahoe
35,5,Heritage Park Care Center (020845): May 2021,Healthcare - Skilled Nursing,Garfield
36,8,Dutch Bro's Coffee- Aurora,Restaurant - Other,Arapahoe
37,2,Ascent Studio,Indoor Entertainment/Rec,Larimer
38,5,Mountain View Elementary School,School K-12,El Paso
39,4,Willows Child Learning Center -  Willows/Olde-Mill,Child Care Center,Arapahoe
40,3,The Ark Childcare,Child Care Center,Fremont
41,4,International Academy of Denver at Harrington: April 2021,School K-12,Denver
42,3,McAuliffe International School: May 2020,School K-12,Denver
43,3,Resurrection Christian Elementary School,School K-12,Larimer
44,2,Trinidad Inn Nursing Home (020796): May 2021,Healthcare - Skilled Nursing,Las Animas
45,6,Brown International Academy,School K-12,Denver
46,2,Aurora Expeditionary Learning Academy (AXL),School K-12,Arapahoe
47,2,Prairie Hills Elementary School: May 2021,School K-12,El Paso
48,3,UPS - Salida,Distribution Center/Business,Chaffee
49,4,Skinner Middle School,School K-12,Denver
50,11,St. Mary's High School,School K-12,El Paso
51,5,Riverdale Ridge High School: April 2021,School K-12,Adams
52,7,CAYA Fundraiser/Graduation,Indoor Entertainment/Rec,Routt
53,3,Nightingale Suites (2304F8): May 2021,Healthcare - Assisted Living,Jefferson
54,2,Montage Hills (0204T9): April 2021,Healthcare - Assisted Living,Arapahoe
55,4,Casey's Pond Senior Living LTC (020803): April 2021,Healthcare - Skilled Nursing,Routt
56,7,Fruita Monument High School: May 2021,School K-12,Mesa
57,6,Grand Mesa Middle School: April 2021,School K-12,Mesa
58,5,Pear Park Elementary School,School K-12,Mesa
59,3,Next Energy Solar,Construction Company/Contractor,Larimer
60,3,Empire Beauty School - Aurora,Trade School,Arapahoe
61,4,Rocky Mountain Stone Designs,Materials Supplier,Arapahoe
62,2,Discovery Canyon Campus (Elementary_ Middle_ High):  May 2021,School K-12,El Paso
63,3,Louisville Middle School,School K-12,Boulder
64,2,Gold Camp Elementary School,School K-12,El Paso
65,3,South Park High School,School K-12,Park
66,5,Red Robin Gourmet Burgers - Bear Creek Plaza,Restaurant - Sit Down,Jefferson
67,3,Murphy Creek P-8 School,School K-12,Arapahoe
68,3,Alicia Sanchez Elementary School,School K-12,Boulder
69,2,Accent on Flowers,Retailer,Alamosa
70,5,Walmart #869: May 2021,Retailer,Alamosa
71,5,San Luis Valley Board of Cooperative Educational Services,School Administration,Alamosa
72,3,Randi's Pizza,Restaurant - Sit Down,Jefferson
73,4,Front Range Early Learning Center,Child Care Center,Adams
74,3,Kalologie Medspa,Healthcare - Outpatient,Arapahoe
75,3,Comfort Dental - Durango,Healthcare - Outpatient,La Plata
