total	type	name
7	Healthcare - Assisted Living	The Mezzanine- Assisted Living at the Golden West (230379)
10	Homeless Shelter	New Genesis Transitional Living Shelter: November 2020
2	Non-Food Manufacturer/Warehouse	Heartland Industries_ LLC
18	Retailer	The Home Depot #1511
35	Healthcare - Assisted Living	Cappella of Pueblo West (2306FN)
5	Convenience/Corner Store	Peach Tree True Value
7	Non-Food Manufacturer/Warehouse	Reynolds Polymer Technology
7	College/University	Colorado College: December 2020
15	School K-12	Resurrection Christian School
3	Healthcare - Facility for Developmentally Disabled (inpatient)	Mountain Valley Developmental Services_ Pitkin House
3	Construction Site	Concrete Works of Colorado
14	Healthcare - Combined Care	River Valley Inn (02Z787)
7	Healthcare - Facility for Developmentally Disabled (inpatient)	Wheat Ridge Regional Center - House F
10	Healthcare - Assisted Living	The Academy Boulder - University Hill (2303OR)
21	Meat Processing/Packaging	Cargill Meat Solutions: November 2020
10	Healthcare - Assisted Living	Cinnamon Park (230367): November 2020
28	Healthcare - Assisted Living	Mesa Manor Center (021177)
3	Retailer	Walmart #966
4	Retailer	Crate and Barrel
2	Healthcare - Assisted Living	Juniper Village at Louisville (23033N)
2	Hotel/Lodge/Resort	The Steamboat Hotel
5	College/University	Colorado School of Mines-Elm Hall 
2	Restaurant - Sit Down	Bighorn Bistro Steakhouse
3	Retailer	ARC Thrift Stores- Pueblo
2	Restaurant - Sit Down	Trinidad Smokehouse
21	Healthcare - Assisted Living	Gardens at St Elizabeth (230426)
48	Homeless Shelter	Pueblo Rescue Mission
9	Healthcare - Assisted Living	Fairacres Manor_ Inc. (020369): November 2020
2	Food Warehouse	Worley McCullough
2	School K-12	Faith Christian Academy (Elementary)
7	Food Manufacturing/Packaging	Brush Meat Processors: December 2020
11	Retailer	Target - Greeley
3	Caterer	Northern Colorado Catering
11	Healthcare - Skilled Nursing	Valley Manor Care Center (021172)
58	Healthcare - Skilled Nursing	The Center at Centennial (02L581)
6	Healthcare - Skilled Nursing	Fowler Health Care (020219)
3	Other	City of Greeley Wastewater Treatment
4	Healthcare - Skilled Nursing	Brookshire House Rehabilitation and Care Community (020403): November 2020
16	Healthcare - Skilled Nursing	Columbine Commons Health and Rehab LLC (02L578): November 2020
4	Child Care Center	iKid
4	Office/Indoor Workspace	Networks Unlimited 
7	Office/Indoor Workspace	CACI Denver Tech Center 
6	Restaurant - Fast Food	Taco Bell #36116
7	Healthcare - Outpatient	Senior Community Care of Colorado
2	Healthcare - Outpatient	Rivergate Pharmacy
4	Bar/Tavern/Brewery	Camber Brewing Company
4	Other	Breckenridge Laundromat
3	Healthcare - Outpatient	Children's Eye Physicians
6	Religious Facility	Christ in the City
22	Healthcare - Acute Care Hospital	Rangely District Hospital
2	Travel	United Express Airlines Group- Hayden Airport
11	Healthcare - Assisted Living	Florence Care Home_ Inc (23068G)
2	School K-12	Vanguard School Lower Elementary School
23	Healthcare - Skilled Nursing	Namaste Alzheimer's Center (020518)
3	Healthcare - Skilled Nursing	Katherine & Charles Hover Green Houses (02F918)
3	Healthcare - Assisted Living	Balfour At Littleton (23M124)
33	Healthcare - Skilled Nursing	Westlake Care Community (020427)
16	Healthcare - Assisted Living	Belmont Senior Care (230636)
52	Healthcare - Assisted Living	Broadmoor Court ALF (230540)
12	Retailer	Target- Colorado Springs NE
2	Restaurant - Other	Fattys Pizzeria
24	Healthcare - Assisted Living	Jackson Creek Senior Living (23H946)
13	College/University	Pikes Peak Community College
31	"Correctional	 Other"
23	Healthcare - Skilled Nursing	Advanced Health Care of Colorado Springs (02Q655): November 2020
5	School K-12	Upper Blue Elementary
5	Retailer	Mile High Thrift Store- Denver
4	Casino	Triple Crown Casino
2	Indoor Entertainment/Rec	Summit County Senior Center
17	Healthcare - Assisted Living	Heritage Haus Assisted Living (230345)
8	Retailer	Wright & McGill Co/Eagle Claw Fishing Tackle
5	Healthcare - Acute Care Hospital	Penrose St. Francis Health Services - Case Management Department
4	School K-12	Colorado International Language Academy: November 2020
48	Healthcare - Combined Care	MorningStar of Arvada (23T231)
6	Healthcare - Outpatient	Comfort Dental Braces
2	Healthcare - Outpatient	Home Health of Western Colorado
2	Healthcare - Outpatient	Health District of Northern Larimer County Family Dental Clinic
2	Outdoor Entertainment/Rec	Breckenridge Adult Ski School 
2	Office/Indoor Workspace	City of Woodland Park Administration
6	Grocery Store	City Market Carbondale
3	Other	Summit Automotive Group
60	Healthcare - Assisted Living	Ralston Creek Neighborhood (23Q656)
22	Healthcare - Skilled Nursing	Berthoud Living Center (020388)
2	Hotel/Lodge/Resort	Breckenridge Maintenance Mountain Thunder Lodge
2	School K-12	West Woods Elementary 
7	Healthcare - Assisted Living	Evenings Porch LLC (23I527)
40	Healthcare - Assisted Living	Park Regency Thornton (23Q568): November 2020
3	Law Enforcement - Other	Steamboat Springs Police Department
22	Healthcare - Skilled Nursing	Colorow Health Care (021154)
3	Healthcare - Assisted Living	Aspen Leaf Assisted Living Residence (23W733)
13	Healthcare - Skilled Nursing	Walsh Healthcare Center (020298)
14	Office/Indoor Workspace	Breckenridge Grand Vacations Sales Dept Peak 8
8	Healthcare - Combined Care	Bethesda Lutheran Community - Sherman (06B867)
28	Healthcare - Independent Living Facility	Solstice Senior Living at Grand Valley
12	School K-12	The University School
3	Healthcare - Alcohol/Drug Abuse Treatment (inpatient)	Foundry Treatment Center
73	Healthcare - Skilled Nursing	Brookdale Skyline (02R487)
14	College/University	Trinidad State Jr. College Cross country team
7	School K-12	Denver Christian School 
3	Healthcare - Hospice	Touch of Care Hospice
4	School K-12	Gypsum Creek Middle School
7	School K-12	Steck Elementary School
5	School K-12	SOROCO High School
8	Healthcare - Skilled Nursing	Juniper Village - The Spearly Center (020424): November 2020
7	School K-12	Pagosa Elementary
9	Youth Sports/Activities	Boulder Hockey Club_ 12A1
3	Youth Sports/Activities	Boulder Hockey Club_ Team 16U Lady RoughRiders_ Sports Stable in Superior
7	Agriculture - Other	Tagawa Greenhouse Enterprises_ LLC.
5	Hotel/Lodge/Resort	St. Regis Aspen Resort
3	Healthcare - Outpatient	Ulibarri Family Dentistry
2	Youth Sports/Activities	Boys & Girls Club Program at Truscott Elementary School
3	Restaurant - Sit Down	Mazzola's
2	Office/Indoor Workspace	Delta County Human Services
6	Restaurant - Sit Down	Texas Roadhouse
9	Restaurant - Sit Down	Fire on the Mountain
3	Restaurant - Sit Down	East by Southwest
3	Office/Indoor Workspace	RE/MAX Properties_ Inc
40	Healthcare - Assisted Living	Crowley County Nursing Center (020248)
6	Office/Indoor Workspace	Pikes Peak Television  (KRDO)
3	Other	Planet Honda 
5	Healthcare - Assisted Living	Carriage House Assisted Living (23R455)
12	Religious Facility	Vallecito Baptist Church
15	"Correctional	 Other"
17	Healthcare - Assisted Living	Montage Creek (23S304)
2	Other	West Ridge Animal Hospital
15	Retailer	Walmart #1001
22	Healthcare - Alcohol/Drug Abuse Treatment (inpatient)	All Points North
7	Healthcare - Assisted Living	Tammy and Marty's Cozy Adult Care Home (23D457)
4	Office/Indoor Workspace	Premier Mortgage Services_ Inc.
4	Retailer	Nordstrom at Cherry Creek
11	Healthcare - Assisted Living	Castle Country Assisted Living - Victorian House (23048Y)
7	Construction Site	Fedewa/JDG Construction Site- Personal Residence
31	Construction Site	Q3 Contracting Inc/Primoris Services Corporation- Aurora
2	Retailer	Mount Massive Liquors
7	Other	CSFD Station 11
33	Healthcare - Assisted Living	Inn at Greenwood Village (23Q648)
16	Healthcare - Assisted Living	Vista Mesa Assisted Living (23123I)
5	Office/Indoor Workspace	KP LLC/Binske Grow Operation
8	Construction Site	Milender White-DMV Construction Site
5	Grocery Store	City Market North- Durango
3	Office/Indoor Workspace	Delta County Health Services
5	Office/Indoor Workspace	Fort Lupton City Hall
4	Child Care Center	Renaissance Children's Center
3	School K-12	Denver Jewish Day School
6	Child Care Center	Global Village International Preschool
5	Office/Indoor Workspace	Lincoln County /Road and Bridge
2	School K-12	Foundation for Successful Living
10	School K-12	Garnet Mesa Elementary School
4	Healthcare - Outpatient	Hidden Lake Pharmacy
28	Healthcare - Skilled Nursing	Bent County Healthcare Center (020246)
3	Healthcare - Outpatient	HopeWest Delta: December 2020
8	Office/Indoor Workspace	Karsher USA headquarters
2	Office/Indoor Workspace	Z&R Property Management
10	Office/Indoor Workspace	Bradsby Group
8	Child Care Center	Timberline Learning Center
5	Other	Universal Lending Co
2	Healthcare - Outpatient	Steven Dilley DDS
38	Healthcare - Assisted Living	Chelsea Place (23N217)
8	Healthcare - Skilled Nursing	Lincoln Health Care Center (020167)
23	Healthcare - Skilled Nursing	Cherrelyn Healthcare Center (020428): November 2020
2	Bar/Tavern/Brewery	Girl Bar
59	Healthcare - Assisted Living	Granville Assisted Living (23045K): November 2020
19	Healthcare - Assisted Living	Harvard Square Retirement Community (230428):  November 2020
4	Other	Hellman's Chevrolet Buick
6	Healthcare - Assisted Living	Brookdale El Camino (2306MT): November 2020
44	Healthcare - Combined Care	Someren Glen (2304VQ): November 2020
10	Healthcare - Assisted Living	Keystone Place at Legacy Ridge Assisted Living (23H523)
2	School K-12	SkyView Academy: November 2020
4	Retailer	Herbs and Arts
23	Healthcare - Hospice	Pikes Peak Hospice and Palliative Care Unit at Penrose St. Francis
6	Retailer	Applejack Wine & Spirits
3	School K-12	American Academy Castle Pines
4	Restaurant - Fast Food	Burger King #23802
4	School K-12	Castle View High School November 2020
23	Retailer	Altman Specialty Plants
2	Food Warehouse	Grower Shipper Potato
8	Healthcare - Facility for Developmentally Disabled (outpatient)	Firefly Autism
2	Office/Indoor Workspace	First National Bank- Fort Collins
2	"Correctional	 Other"
3	School K-12	Rocky Heights Middle School
9	Other	Autonation Honda
6	Law Enforcement - Other	JeffCo Sheriff's Office Records Work Unit
3	School K-12	Heritage Elementary School
611	State Prison	Limon Correctional Facility
9	School Administration	APS Transportation
14	Food Warehouse	American Produce
6	School K-12	Deer Trail Elementary School 
5	Child Care Center	The Goddard School- Longmont
3	"Correctional	 Other"
53	Healthcare - Combined Care	Evergreen Nursing Home (021065)
2	Retailer	Napa Auto Parts
2	Hotel/Lodge/Resort	Manor Vail Lodge
8	"Correctional	 Other"
5	Child Care Center	A Child's Touch
3	"Correctional	 Other"
2	Child Care Center	Alpine Elementary School- Early Education
9	"Correctional	 Other"
7	Child Care Center	Sunset Academy
83	State Prison	Delta Correctional Center
2	Construction Company/Contractor	JMP Heat Inc.
5	Healthcare - Assisted Living	Brookdale Fort Collins Assisted Living (2303WA)
18	Healthcare - Assisted Living	Gardens Care Home Indian Tree (2304F3)
4	Office/Indoor Workspace	JP Morgan Chase Bank- Lakewood (Alameda Ave.)
28	Healthcare - Skilled Nursing	Sunset Manor (020186): November 2020
146	Healthcare - Skilled Nursing	Four Corners Health Care Center (021299)
6	Office/Indoor Workspace	Sage Benefit Advisors
25	Healthcare - Skilled Nursing	San Juan Living Center (021141): November 2020
4	Healthcare - Outpatient	Physical Therapy Connection_ PC
10	School K-12	High Plains School
24	Healthcare - Assisted Living	Garden Square of Greeley (2303DK)
4	Restaurant - Sit Down	Penrose Taphouse and Eatery
16	School K-12	Skyline High School
7	Grocery Store	King Soopers #41
3	School K-12	Cache La Poudre Middle School
35	Healthcare - Skilled Nursing	North Star Rehabilitation and Care Community (020413)
3	Non-Food Manufacturer/Warehouse	HYDRAPAK_ LLC
5	Outdoor Entertainment/Rec	Parks and Recreation-Wash Park HQ
2	Non-Food Manufacturer/Warehouse	Kurt Manufacturing
16	Grocery Store	Whole Foods Market - Pearl Street
4	School K-12	Aspen View Academy 
7	Restaurant - Sit Down	Zia Taqueria South
9	School K-12	Cottonwood Plains Elementary School
9	Office/Indoor Workspace	SARA_ Inc. 
8	Law Enforcement - Other	Montrose Police Department
7	School K-12	Erie Middle School
17	Healthcare - Skilled Nursing	Mountain Vista Health Center (020429): November 2020
3	School K-12	Aragon Elementary
4	Office/Indoor Workspace	Fremont County DHS
2	Other	Burlington Feeders Inc
2	Personal Services	Harmony Health Massage
4	Office/Indoor Workspace	Evergreen Natural Resources
4	Law Enforcement - Other	Las Animas County Sheriff Department
3	Hotel/Lodge/Resort	Trappeur's Crossing Resort
12	Grocery Store	City Market Store #441
11	Child Care Center	Congregation Rodef Shalom Preschool
33	Grocery Store	Costco Wholesale #1014
2	Healthcare - Outpatient	Colorado Springs Therapy Center- South Office
7	School K-12	Cedaredge Elementary School
122	Healthcare - Skilled Nursing	Terrace Gardens Healthcare Center (020561): November 2020
20	Healthcare - Assisted Living	Bonaventure of Colorado Springs (23U243)
134	Healthcare - Skilled Nursing	Springs Village Care Center (020535)
8	Healthcare - Outpatient	Comfort Dental - Austin Bluffs
4	Healthcare - Outpatient	Urology Clinic_ PC
51	Healthcare - Assisted Living	Brookdale Monument Valley Park (2305WD)
3	Restaurant - Sit Down	Chimayo Mexican Grill
3	Retailer	Igadl Dispensary
18	Child Care Center	Hope Montessori Academy
2	Other	Pueblo Mitsubishi
3	Adult Sports Club/Team	USA Women's Rugby
9	College/University	University of Northern Colorado - Delta Zeta Sorority 
27	"Correctional	 Other"
22	Healthcare - Assisted Living	The Retreat at Palisade (2311QG)
3	Other	Senior Resource Development Agency
3	Retailer	Once Upon a Child
4	Construction Company/Contractor	Encore Electric Inc.
6	Construction Company/Contractor	Lozano's Welding
6	Non-Food Manufacturer/Warehouse	Tire Distributor Xperts (TDX)
3	School Administration	Jeffco Public Schools South Transportation
