total	type	name
2	School K-12	Southeast Christian School
2	Healthcare - Assisted Living	Charleston Assisted Living (23K101)
11	Healthcare - Independent Living Facility	Sugar Valley Estates
2	School K-12	Mountain Range High School
3	Grocery Store	Sprouts- E. Colfax
3	Healthcare - Facility for Developmentally Disabled (outpatient)	Goldstar Learning Options
2	Healthcare - Assisted Living	Residence at Village Green (23H136): December 2020
2	Healthcare - Assisted Living	Eagles Nest Aviator Homes (23I528)
8	Healthcare - Skilled Nursing	Manorcare Health Services-Denver  (020476): December 2020
11	Home Maintenance Services	Clear Architectural Glass
7	Construction Site	Picking Construction Site - Personal Residence 
4	Healthcare - Skilled Nursing	Centennial Health Care Center (020317): December 2020
3	Child Care Center	Little People's Landing- E. Boardwalk Dr.
5	Religious Facility	Steamboat Christian Center
6	Healthcare - Skilled Nursing	Pine Ridge Extended Care Center (0212V8)
2	Restaurant - Sit Down	Empire Burger
3	Child Care Center	St. John's Lutheran Church Preschool
4	Healthcare - Assisted Living	The Academy Bella Vista (23R666)
16	Healthcare - Assisted Living	The Commons of Hilltop (23T695)
2	Healthcare - Assisted Living	The Oak (231133)
2	Healthcare - Alcohol/Drug Abuse Treatment (inpatient)	Phoenix Concept
19	Healthcare - Combined Care	The Willows (231128)
2	Other	City of Durango Collection and Distribution Utilities
5	Other	Crystal Packaging
10	Office/Indoor Workspace	Rocky Mountain Instrument Co
9	Child Care Center	Fitzsimmons Early Learning Center
23	"Correctional	 Other"
5	Law Enforcement - Other	Colorado State Patrol - Montrose
2	Retailer	Happy Horse Tack Shop
11	Homeless Shelter	Boulder Shelter for the Homeless
6	Restaurant - Fast Food	McDonalds
3	Restaurant - Fast Food	Good Times Burgers
25	Healthcare - Skilled Nursing	PowerBack Rehabilitation Lafayette (02U713): December 2020
4	Child Care Center	Superior Kids Care
40	Healthcare - Assisted Living	Frontier Valley Assisted and Independent Living (2304B1)
9	Healthcare - Skilled Nursing	Summit Rehabilitation and Care Community (020407): December 2020
2	School K-12	Bayfield High School
2	Child Care Center	The Cottage School
23	Healthcare - Skilled Nursing	Elms Haven Center (020474): December 2020
5	Healthcare - Assisted Living	Garden Square Westlake (2303C0)
2	Other	Montrose County Senior Citizens Transportation_ Inc.
6	Healthcare - Acute Care Hospital	St. Joseph Hospital- Women's Care
29	Healthcare - Assisted Living	Morningstar at Ridgegate (23X760): December 2020
23	Healthcare - Assisted Living	Lincoln Meadows Senior Living (23D500)
9	Healthcare - Skilled Nursing	Paonia Care and Rehabilitation Center (021199)
12	Healthcare - Alcohol/Drug Abuse Treatment (inpatient)	Shiloh House
6	Healthcare - Skilled Nursing	Life Care Center of Aurora (0204F6): December 2020
3	Retailer	Hanger Clinic
20	Retailer	Lowes #0318
2	Restaurant - Other	Rustic Donut
4	Healthcare - Group Home	Imagine Longmont Host Home Mason
3	Other	Pagosa Springs Post Office
9	Healthcare - Group Home	Imagine Longmont Host Home Charles
15	Healthcare - Skilled Nursing	St Andrews Village-LTC (02O244): December 2020
2	Healthcare - Outpatient	Every Child Pediatrics
9	Construction Company/Contractor	New Image Drywall
9	Retailer	Disney Store - Park Meadows 
14	Office/Indoor Workspace	RTD 711 Telephone Info Center
2	Office/Indoor Workspace	Ouray Silver Mines Office
5	Healthcare - Assisted Living	Serenity House Assisted Living I (2304O7)
11	Homeless Shelter	Cold Weather Shelter
6	Healthcare - Alcohol/Drug Abuse Treatment (outpatient)	Mountain Springs Recovery
2	Office/Indoor Workspace	Fox Rent-a-Car_ Inc.
3	Grocery Store	Breckenridge Market & Liquor
2	School K-12	Compass Montessori: December 2020
5	Other	Grease Monkey
4	Other	Colorado Springs Fire Department Station 10
18	Food Manufacturing/Packaging	Canyon Bakehouse
43	Jail	Boulder County Jail: December 2020
8	Distribution Center/Business	Smalley And Company
3	Home Maintenance Services	Rocky Mountain Plumbing and Hydroheat
3	Retailer	GM Peoria LLC d/b/a Golden Meds
5	Healthcare - Assisted Living	Solange at South Forrest (23E526)
2	Healthcare - Assisted Living	Penny Lane Assisted Living (23V720)
3	Retailer	Athleta
4	Office/Indoor Workspace	Northwest Instruments and Controls_ Inc.
2	School K-12	Chinook Trail Elementary School
2	Child Care Center	Cradle to Crayons: December 2020
3	Healthcare - Skilled Nursing	Lowry Hills Care and Rehabilitation (020426): December 2020
3	Healthcare - Assisted Living	Lighthouse Assisted Living - Elizabeth House (23R130)
2	Personal Services	Atma Prema Day Spa and Salon
4	Other	Chatfield Vet Hospital
3	Healthcare - Skilled Nursing	Brookside Inn (0205US): December 2020
3	Other	American Moving & Storage
4	Healthcare - Assisted Living	Sunrise at Orchard (2304NM): December 2020
23	Outdoor Entertainment/Rec	Breckenridge Lift Maintenance
3	Restaurant - Fast Food	Starbucks- Frisco
4	Healthcare - Assisted Living	Freedom Home Assisted Living Inc (23E517)
3	Grocery Store	Skywalk Market and Deli at Beaver Run Resort
3	Outdoor Entertainment/Rec	Dillon Ice Castles
31	Healthcare - Skilled Nursing	Liberty Heights Skilled Nursing Center (020501)
15	Healthcare - Assisted Living	Almost Like Home (23Y383) : December 2020
6	Healthcare - Assisted Living	New Mercer Commons (23036U)
3	Healthcare - Outpatient	Penrose St. Francis Health Services- Cardio Clinic (Admin. Support)
4	Other	City of Cortez Public Works
7	Healthcare - Rehab Facility	UC Health (Rehab Patient Care Unit)
3	Healthcare - Assisted Living	ViewPointe Senior Living (230541)
11	Healthcare - Skilled Nursing	Monte Vista Estates (021023)
3	School K-12	Shepardson Elementary
2	Healthcare - Assisted Living	Cadence Aurora (23048J)
2	Grocery Store	Dolores Food Market
8	Healthcare - Assisted Living	The Retreat at Highlands (23O618)
2	Child Care Center	Wings Early Childhood Center
11	Child Care Center	The Learning Experience - Centennial 
