total	type	name
2	Hotel/Lodge/Resort	Hampton Inn Mesa Verde/Cortez
2	Office/Indoor Workspace	Canvas Credit Union
2	Office/Indoor Workspace	Colorado Department of Personnel and Administration North Campus
2	Office/Indoor Workspace	Western States Bank- Fort Collins
2	Office/Indoor Workspace	Land Title Guarantee Company
2	Hotel/Lodge/Resort	Hyatt Place Colorado Springs/ Garden of the Gods
2	Office/Indoor Workspace	Group Publishing
2	Office/Indoor Workspace	Breckenridge Guest Information 
2	Other	Colorado Springs Utilities East Service Center
2	Other	Waste Management
2	Other	Breck Terrace Building I
2	Office/Indoor Workspace	City of Ouray
2	Home Maintenance Services	Taylor Plumbing and Heating
2	Healthcare - Skilled Nursing	Westlake Care Community (020427): January 2021
2	Healthcare - Skilled Nursing	Parkview Care Center (020440): January 2021
2	Grocery Store	City Market #408
2	Healthcare - Assisted Living	Sunrise Assisted Living at University Park (23R508): January 2021
2	Healthcare - Assisted Living	Ty's House (23R990)
2	Healthcare - Assisted Living	Brookdale Longmont (2303JU)
2	Healthcare - Combined Care	The Academy Boulder - University Hill (2303OR): January 2021
2	Healthcare - Facility for Developmentally Disabled (inpatient)	Pueblo Regional Center - House B
2	Healthcare - Facility for Developmentally Disabled (outpatient)	Trumpet Behavioral Health- Fort Collins
2	Healthcare - Outpatient	Kaiser Permanente Rockcreek General Surgery Department
2	Healthcare - Outpatient	Kaiser Lone Tree Pharmacy Infusion Center
2	Healthcare - Outpatient	Kaiser CSS Pharmacy Infusion Center
2	Healthcare - Outpatient	Loveland Youth Clinic
2	Healthcare - Outpatient	South Shields Dental
2	Healthcare - Outpatient	Silverton Clinic/San Juan County Public Health
2	Healthcare - Outpatient	Elk Ridge Dentistry
2	Healthcare - Rehab Facility	Flatirons Health and Rehab
2	Other	Apex Sports
2	Other	Senior Resource Development Agency: January 2021
2	School K-12	Roosevelt Charter Academy
2	School K-12	Heritage Elementary School: January 2021
2	School K-12	Upper Blue Elementary School: January 2021
2	School K-12	Highlands Ranch Bridge Program
2	School K-12	Mountain Vista High School: January 2021
2	School K-12	St. Mary's Academy: January 2021
2	School K-12	Edna and John W Mosley P-8 School
2	School K-12	Strasburg Elementary School
2	School K-12	Montrose Northside Elementary School
2	School K-12	Platte River Academy: January 2021
2	School K-12	Thornton High School
2	School K-12	Secrest Elementary School
2	School K-12	Patriot Elementary School: January 2021
2	School K-12	Steamboat Springs High School: January 2021
2	School K-12	Dillon Valley Elementary School: January 2021
2	Retailer	Rocky Road Remedies
2	Distribution Center/Business	Associated Global Systems
2	Retailer	WAXIE Sanitary Supply
2	Retailer	Sally Beauty 
2	Outdoor Entertainment/Rec	Breckenridge Adult Ski School: January 2021
2	Outdoor Entertainment/Rec	Keystone Mountain House Adult Ski School
2	Outdoor Entertainment/Rec	Breckenridge Children's Ski School P8
2	Outdoor Entertainment/Rec	Keystone River Run Adult Ski School
2	Outdoor Entertainment/Rec	Keystone Ticket Scanning
2	Restaurant - Other	Breckenridge Maggie Food and Beverage 
2	Restaurant - Other	Buena Vista Roastery
2	Restaurant - Sit Down	Mountain Pizza and Tap Room
2	Restaurant - Sit Down	Kip's Grill and Cantina
2	Restaurant - Sit Down	Olive Garden
2	Restaurant - Sit Down	Sevens Restaurant
2	Retailer	Sherwin-Williams Paint Store- Fort Collins
2	Retailer	Powder Tools
2	Distribution Center/Business	UPS Englewood
2	Youth Sports/Activities	Peak 2 Peak Wrestling
2	Child Care Center	Mama Lea's Rocking Horse Ranch Child Care
2	Child Care Center	Global Village International Preschool
2	Child Care Center	Bear Creek Elementary School: January 2021
2	Child Care Center	Lake Dillon Preschool
2	Bar/Tavern/Brewery	The Rock Inn
2	Construction Company/Contractor	Wyndham/Innovative Construction
2	Child Care Center	Clever Kids Learning Center
2	Child Care Center	Palmer Lake Early Childhood Center
2	"Correctional	 Other"
2	Child Care Center	Home Daycare #5
2	Child Care Center	Home Daycare #1
3	Other	Aspen Glen
3	Healthcare - Assisted Living	Bonaventure of Thornton (23O534): January 2021
3	School K-12	The Colorado Springs School
3	Outdoor Entertainment/Rec	Copper Mountain Parking/Base Operations
3	School K-12	Kinard Core Knowledge Middle School
3	Construction Company/Contractor	Western Die Contractor Inc
3	School K-12	Pine Grove Elementary School
3	Religious Facility	Feedstore Church
3	Healthcare - Facility for Developmentally Disabled (outpatient)	Trumpet Behavioral Health- Loveland
3	Healthcare - Facility for Developmentally Disabled (outpatient)	Community Intersections
3	Child Care Center	Westwoods Kinder Care
3	Healthcare - Facility for Developmentally Disabled (inpatient)	High Street Home -Bethesda Lutheran Communities
3	Restaurant - Sit Down	The Periodic Table
3	Healthcare - Memory Care	Altavita Memory Care Center (23H130)
3	Child Care Center	Home Daycare #6
3	Retailer	Sam's Club #6333
3	Healthcare - Assisted Living	The Myron Stratton Home (230560)
3	Retailer	The Home Depot #1517: January 2021
3	Outdoor Entertainment/Rec	Catamount Ranch Nordic Center
3	Healthcare - Assisted Living	The Courtyards at Mountain View  (23X801)
3	Retailer	Walmart #921
3	Retailer	WalMart#5957
3	Retailer	Specialty Appliance 
3	Retailer	Cork N Bottle
3	Restaurant - Fast Food	McDonald's
3	Retailer	Strawberry Fields North
3	Restaurant - Fast Food	Starbucks (Breckenridge)
3	Construction Company/Contractor	TRC Construction Pipeline Crew 
3	School K-12	Parr Elementary
3	Social Gathering	Social Gathering- Summit County: January 2021
3	Food Manufacturing/Packaging	Pepcol Manufacturing by Darling Ingredients 
3	Office/Indoor Workspace	Shalom Denver
3	School K-12	Meeker Elementary School: January 2021
3	Law Enforcement - Other	Breckenridge Police Department
3	Grocery Store	King Soopers #72
3	Child Care Center	Summit County Preschool
3	Law Enforcement - Other	Summit County Sheriff's Department
3	Construction Company/Contractor	Pavement Maintenance Services
3	Homeless Shelter	Catholic Charities of Denver
3	Non-Food Manufacturer/Warehouse	Bronnor Corporation
3	Social Gathering	Social Gathering - Keystone
3	Child Care Center	Primrose School at DTC: January 2021
3	School K-12	Dalton Elementary School
3	Healthcare - Assisted Living	Peakview Assisted Living and Memory Care (23F490): January  2021
3	Other	Breck Terrace - Building D
3	School K-12	Ellicott Elementary
3	Distribution Center/Business	UPS - Denver Gateway
3	Other	Wally's Speed Shop
3	Office/Indoor Workspace	Rio Blanco County Road & Bridge
3	Social Gathering	Social Gathering- Breckenridge
3	Grocery Store	Vitamin Cottage- Steamboat Springs
3	Office/Indoor Workspace	Dunn Real Estate
3	Farm/Dairy	La Luna Dairy
3	Office/Indoor Workspace	Glen Companies
3	College/University	Colorado Mountain College
3	Grocery Store	Trader Joe's #300
3	Office/Indoor Workspace	CDS Engineering
3	Law Enforcement Administration	Teller County Sheriff's Office
4	Homeless Shelter	Purple Cliff Homeless Camp
4	Healthcare - Outpatient	Denver Internal Medicine
4	Restaurant - Sit Down	Downhill Dukes
4	Materials Supplier	Ideal Completion Services
4	Restaurant - Sit Down	Panhandler's Pizza
4	Restaurant - Sit Down	Parry's Pizza
4	Construction Company/Contractor	Precision Granite
4	Restaurant - Sit Down	Keystone Big Horn Bistro
4	Materials Supplier	American Power Systems
4	Restaurant - Fast Food	Papa Murphys
4	Office/Indoor Workspace	California Casualty Insurance Company
4	Other	Metro Wastewater Reclamation District
4	Office/Indoor Workspace	Edward Jones
4	Office/Indoor Workspace	Suncor Energy-Maintenance Department
4	Child Care Center	Joshua Early Childhood Center
4	Healthcare - Skilled Nursing	Avamere Transitional Care and Rehabilitation (020399): January 2021
4	Healthcare - Outpatient	Medicine Shoppe #1404
4	Outdoor Entertainment/Rec	Eastern Rio Blanco Metropolitan Recreation and Park District
4	Non-Food Manufacturer/Warehouse	Blair Labeling
4	Restaurant - Fast Food	Rico Pollo #6
4	Restaurant - Other	Jax Fish House
4	Non-Food Manufacturer/Warehouse	Creative Foam: January 2021
4	Restaurant - Sit Down	Slopeside Grill
4	Jail	Alamosa County Detention Facility 
4	School K-12	Gold Rush Elementary School: January 2021
4	School K-12	Addenbrooke Classical Academy
4	Healthcare - Assisted Living	Madison House Assisted Living (231211)
4	School K-12	Banning Lewis Preparatory Academy - Middle School
4	Healthcare - Combined Care	Golden West (230379)
4	Bar/Tavern/Brewery	High Side Brewing
4	Healthcare - Assisted Living	Balfour Longmont (23L108)
4	Healthcare - Assisted Living	The Bee Hive- Sterling 1 (23O1E9)
4	Healthcare - Assisted Living	Lamar Estates (020201): January 2021
4	School K-12	Sierra Grande School
4	School K-12	Rocky Mountain Prep: Southwest January 2021
4	Food Manufacturing/Packaging	Custom Made Meals: January 2021
4	Healthcare - Assisted Living	Brookdale Arvada (23046M)
4	School K-12	Fort Collins High School: January 2021
4	Restaurant - Sit Down	The Wild Rose Food & Spirits 
4	School K-12	Governor's Ranch Elementary
4	Farm/Dairy	Colorado Mushroom Farm: January 2021
4	Child Care Center	Serenity Education and Day Treatment
