total	type	name
65	Healthcare - Skilled Nursing	Arvada Care and Rehab (020415)
7	Healthcare - Assisted Living	Hilltop Life Adjustment Program (23Q649)
5	Restaurant - Sit Down	Steuben's
38	Healthcare - Assisted Living	Porter Place (2304E7): October 2020
45	Healthcare - Assisted Living	Highline Place (23L199): November 2020
10	Healthcare - Facility for Developmentally Disabled (inpatient)	Wheat Ridge Regional Center - House D
52	Healthcare - Skilled Nursing	SandRock Ridge Care and Rehab (02H515)
6	Healthcare - Outpatient	Shandy Clinic (Helen Hunt)
8	School K-12	Ranch View Middle School
135	Healthcare - Skilled Nursing	Riverdale Rehab and Care Community (020312): November 2020
2	School K-12	Pinnacle Charter School
5	School K-12	Bromley East Charter School 
16	School K-12	Mead High School
7	School K-12	Summit Elementary School
4	School K-12	St. Mary's Academy
19	Healthcare - Assisted Living	Applewood Our House Assisted Living Facility III (23D697)
18	Adult Sports Club/Team	Denver Broncos
68	Food Distribution	McLane Western
4	"Correctional	 Other"
11	Food Manufacturing/Packaging	Taylor Farms Colorado Inc
4	Other	Spradley Ford
3	Other	El Pueblo History Museum
4	Restaurant - Sit Down	Greenfield's Pool and Sports Bar
33	Healthcare - Assisted Living	Cherry Creek Retirement Village (2304E5)
5	Office/Indoor Workspace	Pitkin County Public Works
2	Food Distribution	What Chefs Want
3	Healthcare - Outpatient	Mt San Rafael Therapy Services
945	State Prison	Arkansas Valley Correctional Facility
3	School K-12	Watershed School
15	School K-12	Mountain Vista High School
7	Healthcare - Assisted Living	Applewood Our House Assisted Living 5 (23R660)
38	Healthcare - Assisted Living	Courtyard of Loveland (230369)
25	Retailer	Costco Wholesale #676
476	Jail	Pueblo Detention Center
22	Healthcare - Skilled Nursing	The Center at Lowry (02G500): October 2020
52	Healthcare - Skilled Nursing	Life Care Center of Greeley (0203TL)
54	Healthcare - Assisted Living	The Retreat at Sunny Vista (23Q180)
2	School K-12	Global Leadership Academy
3	School K-12	Ranum Middle School
14	School K-12	Boltz Middle School
6	Retailer	Nature's Herbs & Wellness Center 
2	School K-12	York International
9	Restaurant - Sit Down	Rio Grande Mexican Restaurant 
14	School K-12	Grand Mesa Middle School
14	School K-12	Central High School
