,total,name,type,county
0,2,Centennial Academy of Fine Arts: April 2021,School K-12,Arapahoe
1,6,Total Quality Logistics: March 2021,Other,Denver
2,3,Manorcare Health Services - Denver (020476): April 2021,Healthcare - Skilled Nursing,Denver
3,2,Villas at Sunny Acres Skilled Nursing (020458): April 2021,Healthcare - Skilled Nursing,Adams
4,6,Arapahoe High School: April 2021,School K-12,Arapahoe
5,6,Little Lights Christian Early Learning Center,Child Care Center,Adams
6,2,MorningStar at Ridgegate (23X760): April 2021,Healthcare - Combined Care,Douglas
7,10,Lowry Hills Care and Rehabilitation (020426): April 2021,Healthcare - Skilled Nursing,Arapahoe
8,2,SBWP Law,Office/Indoor Workspace,Jefferson
9,2,Pueblo Regional Center - House C,Healthcare - Facility for Developmentally Disabled (inpatient),Colorado
10,8,Landmark Academy at Reunion,School K-12,Adams
11,6,Colorado School of Mines Athletics - Baseball Team,College/University,Jefferson
12,12,Jefferson County Facilities,Other,Jefferson
13,6,Bennett Ranch Elementary School,School K-12,El Paso
14,4,4th Judicial District Courthouse,Office/Indoor Workspace,El Paso
15,11,Le Bilboquet,Restaurant - Sit Down,Denver
16,2,Palomino Mexican Restaurant ,Restaurant - Sit Down,Larimer
17,5,Rocky Mountain Metal Container- McIntyre Facility: April 2021,Non-Food Manufacturer/Warehouse,Jefferson
18,2,Front Range Veterinary Clinic,Other,Jefferson
19,2,Bank of Colorado,Office/Indoor Workspace,Boulder
20,5,Witt Elementary School: April 2021,School K-12,Jefferson
21,4,John Wesley Powell Middle School,School K-12,Arapahoe
22,3,Next Step Communications_ LLC,Office/Indoor Workspace,Weld
23,9,Colorado School of Mines Athletics - Football Team,College/University,Jefferson
24,4,Vanguard Classical School- East Campus,School K-12,Arapahoe
25,3,Hope Montessori Academy Falcon: April 2021,Child Care Center,El Paso
26,2,Oregano's Pizza Bistro,Restaurant - Sit Down,Jefferson
27,6,Rangely Junior/Senior High School: April 2021,School K-12,Rio Blanco
28,4,Whole Foods Market - Superior,Grocery Store,Boulder
29,10,Social Gathering - Custer County,Social Gathering,Custer
30,2,Hospital Cooperative Laundry - Pueblo,Other,Pueblo
31,4,Community Residential & Respite LLC - Willette House,Healthcare - Long-term Acute Care,Pueblo
32,5,Jump Start Early Learning Academy: April 2021,Child Care Center,Boulder
33,3,Heritage High School: April 2021,School K-12,Arapahoe
34,17,Jefferson County Head Start: April 2021,Child Care Center,Jefferson
35,3,Julia Temple Healthcare Center (020418): April 2021,Healthcare - Skilled Nursing,Arapahoe
36,2,Peak Expeditionary - Pennington,School K-12,Jefferson
37,2,Cherry Creek Nursing Center (020408): April 2021,Healthcare - Skilled Nursing,Arapahoe
38,2,Teller Elementary School,School K-12,Denver
39,5,Color Pro Painting,Construction Company/Contractor,Larimer
40,3,Sunflower Montessori School,School K-12,Jefferson
41,2,UPS - Gypsum,Distribution Center/Business,Eagle
42,2,Leawood Elementary School,School K-12,Jefferson
43,3,Colorado School of Mines - Sigma Alpha Epsilon: April 2021,School/College Dorm,Jefferson
44,4,Littlest Angels Home Daycare,Child Care Center,Boulder
45,2,Rangely District Hospital: April 2021,Healthcare - Acute Care Hospital,Rio Blanco
46,5,Horizon High School: April 2021,School K-12,Adams
47,2,The Courtyards at Mountain View (23X801) : April 2021,Healthcare - Assisted Living,Denver
48,6,First Bank - 12345 W Colfax Lakewood: March 2021,Office/Indoor Workspace,Jefferson
49,2,The Gardens at Columbine (2304QP): April 2021,Healthcare - Assisted Living,Arapahoe
50,8,Sagewood Middle School,School K-12,Douglas
51,11,Primrose School of Fort Collins,Child Care Center,Larimer
52,3,Saltgrass Steakhouse,Restaurant - Sit Down,El Paso
53,17,Pathfinders Recovery Center,Healthcare - Alcohol/Drug Abuse Treatment (inpatient),Arapahoe
54,5,Camp IdRaHaJe,Overnight Camp,Park
55,2,Remington Technologies,Construction Company/Contractor,Larimer
56,2,The Goddard School of Reunion,Child Care Center,Adams
57,2,Colorado Correctional Center,State Prison,Colorado
58,3,Studio Be Salon LLC - Front Range: April 2021,Personal Services,Larimer
59,4,The Classical Academy Central Campus: April 2021,School K-12,El Paso
60,12,Gymtegrity Gym,Youth Sports/Activities,Denver
61,2,Global Village Academy Northglenn: April 2021,School K-12,Adams
62,12,Jackson Creek Senior Living (23H946): April 2021,Healthcare - Assisted Living,El Paso
63,5,Imagine More - Windsor,Retailer,Weld
64,3,Red Rock Roofing,Construction Company/Contractor,Weld
65,7,Target- Boulder,Retailer,Boulder
66,2,Gunnison Valley Health Senior Care Center (020999): April 2021,Healthcare - Skilled Nursing,Gunnison
67,2,Cedarwood Health Care Center (020559): April 2021,Healthcare - Skilled Nursing,El Paso
68,6,DCIS at Fairmont,School K-12,Denver
69,3,Pikes Peak Center (02B942): April 2021,Healthcare - Skilled Nursing,El Paso
70,4,Drive N Motion,Other,Weld
71,3,Avamere Transitional Care and Rehab-Malley (020432): April 2021,Healthcare - Skilled Nursing,Adams
72,8,Udi's Bakery Boulder Brands- Conagra: April 2021,Food Manufacturing/Packaging,Denver
73,8,Trinidad Correctional Facility: April 2021,State Prison,Colorado
74,2,Palisades at Broadmoor Park (23U762): April 2021,Healthcare - Assisted Living,El Paso
75,3,Manor Health Services - Boulder (020315): April 2021,Healthcare - Skilled Nursing,Boulder
76,3,Alamosa Elementary K-2,School K-12,Alamosa
77,3,Brookdale Meridian Englewood (020409): April 2021,Healthcare - Combined Care,Arapahoe
78,2,Avery Brewing Company,Bar/Tavern/Brewery,Boulder
79,9,Traut Core Elementary School,School K-12,Larimer
80,3,IBMC Massage Program,Trade School,Larimer
81,2,Larchwood Inns (0211OZ): April 2021,Healthcare - Assisted Living,Mesa
82,2,Pueblo Regional Center - House B: April 2021,Healthcare - Facility for Developmentally Disabled (inpatient),Colorado
83,2,Baca Elementary School,School K-12,Pueblo
84,2,Webster Elementary School: April 2021,School K-12,El Paso
85,2,Altura Elementary School,School K-12,Adams
86,2,Coronado High School,School K-12,El Paso
87,2,East High School,School K-12,Pueblo
88,5,Holy Family Catholic School,School K-12,Mesa
89,5,A Biggs Step Childcare Center,Child Care Center,Denver
90,3,Studio Be Salon LLC - Old Town: April 2021,Personal Services,Larimer
91,2,Roosevelt Charter Academy: April 2021,School K-12,El Paso
92,2,Circle K - Lyons,Convenience/Corner Store,Boulder
93,3,Brookdale El Camino (2306MT): April 2021,Healthcare - Assisted Living,Pueblo
94,7,Falcon Middle School: April 2021,School K-12,El Paso
95,5,Pueblo Diversified Industries_ Inc.,Office/Indoor Workspace,Pueblo
